keys,ru,en,pl
ACT1_ARRIVAL_fce8e3ab,"Следующее утро. Обоянь, небольшой город в Курской области.","hello I like sex",kurwa
ACT1_ARRIVAL_0421edfb,"Серое небо, заснеженные улицы, старые советские здания.",,
ACT1_ARRIVAL_b3c5f166,"Итак, я здесь. Город небольшой, все друг друга знают...",,
ACT1_ARRIVAL_014f37cb,"Нужно быть осторожным. Моя легенда - польский бизнесмен.",,
ACT1_ARRIVAL_72d91adb,"Сначала нужно зарегистрироваться в местной администрации.",,
ACT1_ARRIVAL_099537d2,"Здание местной администрации. Типичный советский интерьер.",,
ACT1_ARRIVAL_d39cb88c,"Добрый день! Чем могу помочь?",,
ACT1_ARRIVAL_37f60a97,"Здравствуйте! Я приехал по делам, хотел бы зарегистрироваться.",,
ACT1_ARRIVAL_a0f00eef,"Конечно! Вы откуда приехали?",,
ACT1_ARRIVAL_d6b6309f,"Из Польши. Я бизнесмен, интересуюсь инвестициями в регион.",,
ACT1_ARRIVAL_c2d73c09,"Из Польши? Ого! У нас редко иностранцы бывают.",,
ACT1_ARRIVAL_8baea42b,"Паспорт, пожалуйста.",,
ACT1_ARRIVAL_9ba98347,"Вы протягиваете поддельный польский паспорт.",,
ACT1_ARRIVAL_1d402b4e,"Марек Ковальски... Хорошо.",,
ACT1_ARRIVAL_579e858f,"А что именно вас интересует в нашем городе?",,
ACT1_ARRIVAL_b2d51c71,"Вот ваша регистрация. Где планируете остановиться?",,
ACT1_ARRIVAL_8503c859,"Есть ли здесь гостиница?",,
ACT1_ARRIVAL_85e03a0c,"Есть одна, на центральной улице. Называется 'Обоянь'.",,
ACT1_ARRIVAL_6a10c97c,"Если что-то понадобится, обращайтесь! Я Анна, кстати.",,
ACT1_ARRIVAL_65022feb,"Приятно познакомиться, Анна. Спасибо за помощь!",,
ACT1_ARRIVAL_a9082c1a,"Анна улыбается и возвращается к своим делам.",,
ACT1_ARRIVAL_633a46ea,"Номер в гостинице 'Обоянь'. Скромно, но чисто.",,
ACT1_ARRIVAL_d66e0822,"Так, теперь можно начинать работу.",,
ACT1_ARRIVAL_da948a02,"Нужно собрать информацию о заводе, но делать это осторожно.",,
ACT1_ARRIVAL_e656b0c7,"Вы достаете специальное оборудование из чемодана.",,
ACT1_ARRIVAL_9e8de531,"Связь с центром работает. Хорошо.",,
ACT1_ARRIVAL_7c0c8b0b,"Внезапно в дверь стучат.",,
ACT1_ARRIVAL_4659116e,"Кто там?",,
ACT1_ARRIVAL_234cc126,"За дверью незнакомый мужской голос.",,
ACT1_ARRIVAL_1f3cdb39,"Охрана гостиницы. Проверка документов.",,
ACT1_ARRIVAL_61c6bf1a,"Сейчас...",,
ACT1_ARRIVAL_ab0ca334,"Нужно быть осторожнее. За мной уже следят?",,
ACT1_ARRIVAL_9b40a7f7,"Наступает вечер. Пора действовать.",,
ACT2_INFILTRATION_284fff84,"Местный бар 'У Михалыча'. Вечер, здесь собираются рабочие с завода.",,
ACT2_INFILTRATION_9d53e5a9,"Вы входите в бар. Несколько местных мужчин играют в домино.",,
ACT2_INFILTRATION_7a42b4f3,"Добрый вечер...",,
ACT2_INFILTRATION_0f8633e0,"Некоторые оборачиваются и смотрят на вас.",,
ACT2_INFILTRATION_43032fbf,"О! Марек! Привет! Пришёл всё-таки!",,
ACT2_INFILTRATION_fb4335af,"Привет, Дима! Решил, что пропущу по пиву.",,
ACT2_INFILTRATION_9c4dc658,"Правильно! Михалыч, два пива!",,
ACT2_INFILTRATION_9a7304c7,"Бармен наливает пиво.",,
ACT2_INFILTRATION_fc9abea8,"Так что, как впечатления от Обояни?",,
ACT2_INFILTRATION_e36ba3c8,"Слушай, а чем ты вообще занимаешься? Говорил что бизнесмен?",,
ACT2_INFILTRATION_41f854e6,"Да, ищу возможности для инвестиций.",,
ACT2_INFILTRATION_df4e5666,"А что тебя в Обояни интересует? У нас тут только завод и всё...",,
ACT2_INFILTRATION_23d2ca05,"К вам подходит ещё один мужчина.",,
